,Latitude,Longitude
parada_Rua_Sem_Nome_Santa_Julia_Ida4,-5.1391305179207185,-37.36186802387271
parada_Rua_Senador_Ruy_Carneiro_Ida0,-5.141906299999997,-37.347866
parada_Rua_Senador_Ruy_Carneiro_Volta0,-5.140901600000002,-37.349486999999996
parada_Rua_Senador_Ruy_Carneiro_Ida1,-5.1410193000000035,-37.349149999999995
parada_Rua_Senador_Ruy_Carneiro_Volta1,-5.14182600000001,-37.34814
parada_Rua_Tarcisio_Correia_Ida0,-5.163563299999997,-37.357918
parada_Rua_Tarcisio_Correia_Volta0,-5.163576000000007,-37.357758
parada_Rua_Tonheca_Dantas_Volta0,-5.149165000000004,-37.36813
parada_Assembleia_de_Deus_Abolicao_IV_Ida,-5.158612700000005,-37.36012
parada_Assembleia_de_Deus_Abolicao_IV_Volta,-5.15861850000001,-37.35997
parada_Assembleia_de_Deus_do_Parque_das_Rosas_Ida,-5.148264399999999,-37.358549999999994
parada_Assembleia_de_Deus_do_Parque_das_Rosas_Volta,-5.148200000000008,-37.35833399999999
parada_Capela_de_Nossa_Senhora_Aparecida_Ida,-5.1405025,-37.350548
parada_Capela_de_Nossa_Senhora_Aparecida_Volta,-5.140431400000005,-37.350809999999996
parada_CEM_Ida,-5.1826652697533255,-37.35043577849563
parada_EE_Diran_Ramos_do_Amaral_Ida,-5.138920299999994,-37.353705999999995
parada_EE_Diran_Ramos_do_Amaral_Volta,-5.139122500000004,-37.353725
parada_EE_Doutor_Lavoisier_Maia_Ida,-5.1793348880885395,-37.35351897775888
parada_EE_Doutor_Lavoisier_Maia_Volta,-5.179287473264212,-37.353488802908316
parada_EE_Professor_Abel_Freire_Coelho_Ida,-5.180034089386454,-37.35288396477512
parada_EE_Professor_Abel_Freire_Coelho_Volta,-5.179961965504936,-37.35280148684664
parada_EM_Alcides_Manoel_de_Medeiros_Ida,-5.139461774760384,-37.3519244045019
parada_EM_Alcides_Manoel_de_Medeiros_Volta,-5.139454000000004,-37.35224999999999
