,Acessibilidade da parada,Latitude,Longitude
parada_Rua_Monsenhor_Gurgel1,4442696,-5.176063000000002,-37.35124
parada_Costalarga_Corretora_de_Seguros_Presidente_Costa_e_Silva_Ida,4446511,-5.204987500000001,-37.318657
parada_Procon_Municipal_de_Mossoro_Volta,4450613,-5.191438,-37.360527
parada_Spazio_di_Leone,4457093,-5.183479998504804,-37.364915013313485
parada_Fic_Frio_Pizzaria_e_Sanduicheria_Nova_Betania,4466735,-5.179323000000008,-37.364952
parada_Rua_Felipe_Camarao_Ida0,4474495,-5.192565000000003,-37.36895799999999
parada_HRTM,4477718,-5.190176000000006,-37.365982
parada_Igreja_de_Nossa_Senhora_de_Fatima_Abolicao_Volta,4478178,-5.173740582081864,-37.353433817622665
parada_Rua_Presidente_Cafe_Filho_Volta3,4479558,-5.214839577066965,-37.32862472533954
parada_Rua_Raimundo_Nonato_Chaves_Ida1,4480607,-5.186885820439846,-37.3682650923728
parada_EE_Monsenhor_Raimundo_Gurgel_Ida,4488047,-5.201956695632386,-37.3578554391868
parada_Ida_Linha3,4488282,-5.165582436597109,-37.34340101480403
parada_Rua_Melo_Franco_Ida1,4490226,-5.17048428186547,-37.33523100614229
parada_Rua_Melo_Franco_Volta1,4490494,-5.170519008700758,-37.33516663312955
parada_Supermercado_Queiroz_Aeroporto,4498179,-5.193849667356465,-37.36997164786138
parada_Assembleia_de_Deus_Arraial_1,4499028,-5.197079135273438,-37.317692041401386
parada_Intensefit_Academia_Aeroporto,4505741,-5.193893999999999,-37.36983
parada_Rua_Raimundo_Nonato_Chaves_Ida0,4507799,-5.18642503383644,-37.369194477795446
parada_Avenida_Mota_Neto_Ida3,4509092,-5.184006232584401,-37.36534953117424
parada_Rua_Joao_Cordeiro_Ida0,4516184,-5.173060740640446,-37.33941994607256
parada_UFERSA_Lateral_Ida,4522520,-5.208252000000009,-37.32336399999999
parada_Avenida_Abel_Coelho_Ida1,4524482,-5.167588591485185,-37.35806398093303
parada_Avenida_Francisco_Mota_Volta0,4524805,-5.197071000000005,-37.31686
parada_Avenida_Presidente_Dutra_Ida0,4525091,-5.218010000000003,-37.328224
parada_UFERSA_Lateral_Volta,4525973,-5.208474999999997,-37.322994
parada_Avenida_Abel_Coelho_Volta1,4529574,-5.168206999999999,-37.35724
parada_UBS_Chico_Porto,4542659,-5.185165548749602,-37.36635535955346
parada_Avenida_Mota_Neto_Ida2,4543340,-5.184479041508959,-37.365743815900906
parada_Avenida_Francisco_Mota_Ida0,4549846,-5.196541559565968,-37.31690347194805
parada_Igreja_Universal_do_Reino_de_Deus_Barrocas_Volta,4562845,-5.171304368899761,-37.33218133449378
parada_Igreja_Universal_do_Reino_de_Deus_Barrocas_Ida,4566950,-5.171207534571259,-37.332234978675565
parada_Avenida_Rio_Branco_Norte_Ida0,4569345,-5.165189700000005,-37.344494
parada_Avenida_Abel_Coelho_Volta0,4570269,-5.172334818766085,-37.354333028194745
parada_ICPI,4570398,-5.185627671887207,-37.36673086881695
parada_Avenida_Alberto_Maranhao_Sul_Ida3,4587928,-5.207042567159468,-37.35399842262177
parada_Convesti,4588260,-5.209126720853606,-37.322111651305214
parada_Justica_Federal_de_Primeiro_Grau_no_RN,4588268,-5.209067955962108,-37.32207208871858
parada_Avenida_Abel_Coelho_Ida0,4604772,-5.166332,-37.35919
parada_Assembleia_de_Deus_Centenario_I,4605849,-5.195112000000009,-37.36938
parada_Rua_Orlando_Dantas_Volta1,4605940,-5.17235151430728,-37.33841747045751
parada_Avenida_Mota_Neto_Ida1,4613856,-5.186091130291489,-37.367147952318405
parada_Avenida_Abel_Coelho_Volta2,4616889,-5.166305999999994,-37.359016
parada_UPA_Conchecita_Ciarlini_Volta,4619218,-5.170954429609137,-37.33858108520161
